"Column1","Column2","Column3"
"2010","03","222.15000000000001"
"2010","04","210.25"
"2010","05","565.28999999999996"
"2010","06","398.68000000000001"
"2010","07","184.46000000000001"
"2010","08","232.06999999999999"
"2010","09","222.15000000000001"
"2010","10","303.33999999999997"
"2010","11","297.51999999999998"
"2010","12","307.44"
"2011","01","307.44"
"2011","02","277.69"
"2011","03","261.81999999999999"
"2011","04","238.02000000000001"
"2011","05","295.54000000000002"
"2011","06","297.51999999999998"
"2011","07","307.44"
"2011","08","307.44"
"2011","09","297.51999999999998"
"2011","10","497.85000000000002"
"2011","11","436.36000000000001"
"2011","12","245.94999999999999"
"2012","01","245.94999999999999"
"2012","02","206.28"
"2012","03","216.19999999999999"
"2012","04","339.17000000000002"
"2012","05","466.12"
"2012","06","541.49000000000001"
"2012","07","117.02"
"2012","08","212.22999999999999"
"2012","09","176.53"
"2012","10","202.31"
"2012","11","166.61000000000001"
"2012","12","122.98"
"2013","01","122.98"
"2013","02","111.06999999999999"
"2013","03","122.98"
"2013","04","192.40000000000001"
"2013","05","325.29000000000002"
"2013","06","184.46000000000001"
"2013","07","87.269999999999996"
"2013","08","184.46000000000001"
"2013","09","182.47999999999999"
"2013","10","184.46000000000001"
"2013","11","178.50999999999999"
"2013","12","154.71000000000001"
"2014","01","122.98"
"2014","02","111.06999999999999"
"2014","03","190.41"
"2014","04","119.01000000000001"
"2014","05","249.91999999999999"
"2014","06","323.31"
"2014","07","126.94"
"2014","08","335.20999999999998"
"2014","09","109.09"
"2014","10","259.82999999999998"
"2014","11","208.25999999999999"
"2014","12","184.46000000000001"
"2015","01","85.290000000000006"
"2015","02","124.95999999999999"
"2015","03","236.49000000000001"
