dimen,id,cr_date,name
unknown2,529,2018-03-13 20:07:25,Maximum Flow   Volume
unknown2,530,2018-03-13 20:07:25,Maximum Flow   Percent of Demand
unknown2,531,2018-03-13 20:07:25,Loss from System
unknown2,532,2018-03-13 20:07:26,Return Flow Routing
unknown2,533,2018-03-13 20:07:27,Gain from Groundwater
unknown2,534,2018-03-13 20:07:28,Minimum Flow Requirement
unknown2,535,2018-03-13 20:07:29,Streamflow Data
unknown2,536,2018-03-13 20:07:29,DO Concentration Data
unknown2,537,2018-03-13 20:07:29,BOD Concentration Data
unknown2,538,2018-03-13 20:07:29,BOD Removal
unknown2,539,2018-03-13 20:07:29,DO Removal
unknown2,540,2018-03-13 20:07:29,Daily Capacity
unknown2,541,2018-03-13 20:07:31,Fixed Head
unknown2,542,2018-03-13 20:07:31,Max Turbine Flow
unknown2,543,2018-03-13 20:07:32,Headflow_Time_Series
unknown2,544,2018-03-13 20:07:32,Headflow_Seasonal
Angle,545,2018-03-13 21:25:27,Definitions
Angle,546,2018-03-13 21:25:27,Sqeuence
Angle,547,2018-03-13 21:25:28,DO Decrease
Angle,548,2018-03-13 21:25:28,BOD Decrease
Angle,549,2018-03-13 21:25:28,Monthly Demand
Angle,550,2018-03-13 21:25:28,Monthly DemandS
Angle,551,2018-03-13 21:25:28,Annual Water Use Rate
Angle,552,2018-03-13 21:25:28,Monthly Variation
Angle,553,2018-03-13 21:25:28,Consumption
Angle,554,2018-03-13 21:25:29,Loss Rate
Angle,555,2018-03-13 21:25:29,DO Inflow
Angle,556,2018-03-13 21:25:29,BOD Inflow
Angle,557,2018-03-13 21:25:29,BOD Intensity
Angle,558,2018-03-13 21:25:29,DO Intensity
Angle,559,2018-03-13 21:25:29,DO Concentration
Angle,560,2018-03-13 21:25:30,BOD Concentration
Angle,561,2018-03-13 21:25:30,Capital Costs
Angle,562,2018-03-13 21:25:30,Variable Operating Costs
Angle,563,2018-03-13 21:25:30,Fixed Operating Costs
Angle,564,2018-03-13 21:25:30,Variable Benefits
Angle,565,2018-03-13 21:25:30,Fixed Benefits
Angle,566,2018-03-13 21:25:30,Demand Priority
Angle,567,2018-03-13 21:25:31,Storage Capacity
Angle,568,2018-03-13 21:25:31,Initial Storage
Angle,569,2018-03-13 21:25:31,Volume Elevation Curve
Angle,570,2018-03-13 21:25:31,Volume-Curve
Angle,571,2018-03-13 21:25:31,Elevation-Curve
Angle,572,2018-03-13 21:25:31,Maximum Hydraulic Outflow
Angle,573,2018-03-13 21:25:31,Net Evaporation
Angle,574,2018-03-13 21:25:32,Priority
Angle,575,2018-03-13 21:25:32,Loss to Groundwater
Angle,576,2018-03-13 21:25:32,Observed Volume
Angle,577,2018-03-13 21:25:32,Top of Conservation
Angle,578,2018-03-13 21:25:32,Top of Buffer
Angle,579,2018-03-13 21:25:32,Top of Inactive
Angle,580,2018-03-13 21:25:32,Buffer Coefficient
Angle,581,2018-03-13 21:25:33,Max. Turbine Flow
Angle,582,2018-03-13 21:25:33,Tailwater Elevation
Angle,583,2018-03-13 21:25:33,Plant Factor
Angle,584,2018-03-13 21:25:33,Generating Efficiency
Angle,585,2018-03-13 21:25:33,Hydropower Priority
Angle,586,2018-03-13 21:25:33,Energy Demand
Angle,587,2018-03-13 21:25:34,Electricity Revenue
Angle,588,2018-03-13 21:25:34,Priority seasonal
Angle,589,2018-03-13 21:25:35,Maximum Withdrawal
Angle,590,2018-03-13 21:25:35,Natural Recharge
Angle,591,2018-03-13 21:25:36,Headflow
Angle,592,2018-03-13 21:25:37,Evaporation
Angle,593,2018-03-13 21:25:37,Groundwater Inflow
Angle,594,2018-03-13 21:25:37,Groundwater Outflow
Angle,595,2018-03-13 21:25:37,Maximum Diversion
Angle,596,2018-03-13 21:25:38,Reach Length
Angle,597,2018-03-13 21:25:38,Surface Water Inflow
Angle,598,2018-03-13 21:25:38,Water Temperature
Angle,599,2018-03-13 21:25:38,Maximum Flow   Volume
Angle,600,2018-03-13 21:25:38,Maximum Flow   Percent of Demand
Angle,601,2018-03-13 21:25:39,Loss from System
Angle,602,2018-03-13 21:25:40,Return Flow Routing
Angle,603,2018-03-13 21:25:40,Gain from Groundwater
Angle,604,2018-03-13 21:25:41,Minimum Flow Requirement
Angle,605,2018-03-13 21:25:42,Streamflow Data
Angle,606,2018-03-13 21:25:42,DO Concentration Data
Angle,607,2018-03-13 21:25:42,BOD Concentration Data
Angle,608,2018-03-13 21:25:42,BOD Removal
Angle,609,2018-03-13 21:25:43,DO Removal
Angle,610,2018-03-13 21:25:43,Daily Capacity
Angle,611,2018-03-13 21:25:45,Fixed Head
Angle,612,2018-03-13 21:25:45,Max Turbine Flow
Angle,613,2018-03-13 21:25:45,Headflow_Time_Series
Angle,614,2018-03-13 21:25:46,Headflow_Seasonal
Volume,615,2018-03-15 16:21:59,Monthly DemandS
Volume,616,2018-03-15 16:21:59,Annual Water Use Rate
percent,617,2018-03-15 16:21:59,Consumption
Concentration,618,2018-03-15 16:22:07,DO Inflow
Concentration,619,2018-03-15 16:22:07,BOD Inflow
Concentration,620,2018-03-15 16:22:08,BOD Intensity
Concentration,621,2018-03-15 16:22:08,DO Intensity
Concentration,622,2018-03-15 16:22:08,DO Concentration
Concentration,623,2018-03-15 16:22:08,BOD Concentration
Money,624,2018-03-15 16:22:08,Capital Costs
Money,625,2018-03-15 16:22:08,Variable Operating Costs
Money,626,2018-03-15 16:22:08,Fixed Operating Costs
Money,627,2018-03-15 16:22:16,Variable Benefits
Money,628,2018-03-15 16:22:16,Fixed Benefits
Volume,629,2018-03-15 16:22:17,Volume-Curve
distance,630,2018-03-15 16:22:17,Elevation-Curve
Flow,631,2018-03-15 16:22:17,Maximum Hydraulic Outflow
distance,632,2018-03-15 16:22:17,Net Evaporation
distance,633,2018-03-15 16:22:25,Priority
Volume,634,2018-03-15 16:22:25,Loss to Groundwater
Volume,635,2018-03-15 16:22:25,Observed Volume
Volume,636,2018-03-15 16:22:25,Top of Conservation
