dimen,id,cr_date,name
dimensionless,222,1/22/2018 3:05,Water Temperature
cubic feet per second,223,1/22/2018 3:05,Maximum Flow   Volume
percent,224,1/22/2018 3:05,Maximum Flow   Percent of Demand
percent,225,1/22/2018 3:05,Return Flow Routing
acre,226,1/22/2018 3:05,Capital Costs
cubic feet per second,227,1/22/2018 3:05,Streamflow Data
milligrams Per Liter,228,1/22/2018 3:05,DO Concentration Data
milligrams Per Liter,229,1/22/2018 3:05,BOD Concentration Data
percent,230,1/22/2018 3:05,BOD Removal
percent,231,1/22/2018 3:05,DO Removal
Million m^3/day,232,1/22/2018 3:05,Daily Capacity
MWH,233,1/22/2018 3:05,Energy Demand
$/MWH,234,1/22/2018 3:05,Electricity Revenue
CMS,235,1/22/2018 3:05,Max Turbine Flow
Area,236,1/30/2018 21:53,Buffer coefficient
Length,237,1/30/2018 22:26,test
Length,238,1/30/2018 22:27,Capital Costs
dimensionless,239,1/30/2018 22:28,Elevation-Curve
acre foot,240,2/1/2018 16:58,Buffer Coefficient
Volume,241,2/1/2018 22:51,Minimum Storage Target
Volume,242,2/2/2018 15:34,Minimum Demand
dimensionless,243,2/13/2018 1:36,cons
dimensionless,244,2/13/2018 1:37,dReq
dimensionless,245,2/13/2018 18:09,RA_par1
dimensionless,246,2/13/2018 18:10,RA_par2
dimensionless,247,2/13/2018 18:10,RA_par3
dimensionless,248,2/13/2018 18:10,evap
dimensionless,249,2/13/2018 18:11,initSTOR
dimensionless,250,2/13/2018 18:11,maxstor
dimensionless,251,2/13/2018 18:11,minstor
dimensionless,252,2/13/2018 18:12,Z
dimensionless,253,2/13/2018 18:12,b
Volumetric flow rate,254,3/2/2018 18:18,Capacity
SeasonalNumericValues,255,3/12/2018 20:07,Definitions
TimeSeries,256,3/12/2018 20:07,Sqeuence
TimeSeries,257,3/12/2018 20:07,DO Decrease
TimeSeries,258,3/12/2018 20:07,BOD Decrease
SeasonalNumericValues,259,3/12/2018 20:07,Monthly Demand
TimeSeries,260,3/12/2018 20:07,Monthly DemandS
NumericValues,261,3/12/2018 20:07,Annual Water Use Rate
SeasonalNumericValues,262,3/12/2018 20:07,Monthly Variation
SeasonalNumericValues,263,3/12/2018 20:07,Consumption
NumericValues,264,3/12/2018 20:07,Loss Rate
TimeSeries,265,3/12/2018 20:07,DO Inflow
TimeSeries,266,3/12/2018 20:07,BOD Inflow
TimeSeries,267,3/12/2018 20:07,BOD Intensity
TimeSeries,268,3/12/2018 20:07,DO Intensity
TimeSeries,269,3/12/2018 20:07,DO Concentration
TimeSeries,270,3/12/2018 20:07,BOD Concentration
TimeSeries,271,3/12/2018 20:07,Capital Costs
TimeSeries,272,3/12/2018 20:07,Variable Operating Costs
TimeSeries,273,3/12/2018 20:07,Fixed Operating Costs
TimeSeries,274,3/12/2018 20:07,Variable Benefits
TimeSeries,275,3/12/2018 20:07,Fixed Benefits
NumericValues,276,3/12/2018 20:07,Demand Priority
NumericValues,277,3/12/2018 20:07,Storage Capacity
